1 3 5 4 2
4 4 10 8 4
8 9 13 10 5
11 14 17 11 7
12 19 20 13 11
13 23 23 18 13
14 26 28 20 17
15 29 33 22 21
17 32 38 26 22
20 36 43 28 23
21 39 47 33 25
25 40 49 38 28
30 42 53 39 31
35 43 56 41 35
40 46 60 43 36
43 51 62 44 40
46 53 66 45 45
49 55 70 46 50
53 58 72 47 55
57 59 74 50 60
59 64 77 54 61
63 65 79 57 66
66 70 81 58 70
68 75 82 62 73
71 77 83 66 78
72 80 85 71 82
74 83 86 75 87
76 86 90 76 92
79 90 92 77 97
81 95 96 78 100
86 98 100 80 101
90 103 103 81 103
93 107 104 86 105
98 111 106 89 106
103 115 107 92 108
104 119 112 95 110
106 123 117 98 111
108 127 122 101 112
110 132 126 102 115
113 137 130 104 116
116 142 134 106 117
119 147 138 108 118
122 152 139 110 122
127 153 141 114 125
129 157 146 117 126
133 162 148 118 129
136 166 149 120 134
140 169 150 122 139
142 173 151 125 144
144 177 154 126 149
146 178 158 129 154
151 182 161 131 155
153 187 164 135 156
155 191 165 140 159
160 195 167 143 160
165 198 171 145 161
168 200 176 149 162
170 203 180 154 163
172 207 181 159 166
176 212 183 162 167
177 214 186 166 172
179 215 190 169 177
183 220 191 171 180
186 225 195 172 182
187 227 200 176 185
189 231 205 177 188
190 235 210 179 191
192 238 215 180 195
197 240 216 183 199
200 241 218 187 204
201 243 222 192 207
204 247 224 197 208
205 249 228 202 211
209 252 230 207 212
214 256 232 208 215
219 258 236 211 216
224 260 239 212 220
227 262 244 213 224
229 263 249 216 228
234 264 252 218 232
239 266 255 219 236
242 268 259 224 237
247 271 260 228 239
252 275 263 230 240
257 278 267 231 242
262 281 268 235 244
265 286 269 237 248
269 291 270 240 250
271 296 273 244 251
274 300 278 245 253
275 304 283 248 255
278 306 288 249 259
283 310 291 251 260
288 312 294 252 264
293 316 295 254 267
298 320 296 257 269
301 322 297 261 274
303 326 300 262 279
304 330 302 265 284
305 332 307 268 288
307 333 311 271 293
310 334 316 273 297
313 336 321 277 298
316 338 326 281 299
317 342 331 284 301
320 346 336 285 303
322 349 340 286 308
325 351 344 287 313
328 355 345 289 318
331 360 346 291 322
332 365 350 293 325
334 370 354 296 326
337 375 358 297 328
341 376 363 299 331
344 381 367 301 332
349 385 370 302 334
350 387 373 306 339
352 390 374 310 344
353 392 377 315 348
356 394 378 320 352
361 397 379 322 356
366 401 380 325 358
368 406 384 328 359
369 410 389 330 362
370 412 392 335 366
372 413 395 340 370
374 414 398 345 374
375 417 400 349 379
377 420 401 353 384
382 422 402 357 387
387 425 403 361 389
392 427 406 365 390
397 428 409 369 392
400 433 411 373 393
402 438 414 377 394
405 443 415 379 398
408 448 419 380 400
409 453 423 383 402
411 458 427 386 403
414 462 428 388 408
418 465 430 389 413
421 470 432 390 417
426 473 434 391 421
430 478 437 393 422
431 483 441 395 425
432 487 446 397 428
433 492 450 400 430
436 496 455 402 431
438 497 460 406 434
439 501 465 409 436
443 503 470 410 439
445 506 475 411 443
447 507 480 414 447
448 511 482 419 450
450 514 486 424 451
455 517 488 428 452
459 519 489 433 455
462 524 490 437 457
464 527 491 441 462
466 528 494 445 467
467 530 497 449 472
469 533 502 453 473
472 537 504 454 478
474 542 508 455 481
476 546 513 456 484
481 550 516 458 485
484 555 520 459 487
486 560 524 460 490
491 561 527 462 494
496 563 531 465 495
497 566 533 470 499
502 567 535 473 503
504 572 538 477 504
508 577 539 479 507
513 579 540 483 510
517 581 543 488 511
521 583 546 493 512
526 587 547 496 514
530 590 552 497 516
535 592 556 498 519
538 594 561 502 520
540 595 565 505 525
541 598 570 507 529
542 601 574 509 534
543 604 579 511 538
547 606 584 514 539
550 607 586 518 544
552 612 587 521 548
555 616 592 522 550
557 620 595 523 555
559 623 596 528 559
561 628 597 532 562
564 632 599 533 567
569 634 600 536 571
571 637 601 540 576
575 642 602 542 579
577 646 607 543 582
579 647 612 546 586
580 652 615 548 590
581 657 618 550 594
585 660 623 551 596
588 661 628 555 598
593 662 632 557 601
596 666 637 558 603
598 667 640 562 608
602 670 642 563 613
606 675 644 564 616
609 680 648 566 617
614 681 651 568 621
617 685 656 569 623
620 687 660 574 624
625 689 663 578 625
630 693 664 581 627
